Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,,,,,,,,,,,,,,,,,,,,
Akash Infra Projects,28.89,-3.25%,29.5,"6,751",48.72,90.48,27.46,48.45,23,6.76%,10.06%,-15.13%,-7.99%,-68.60%,0.59,-,1.66%,4.78%,1.06,27.67,32.13,53.43,,,,,,,,,,,,,,,,,,,,
AKG Exim,13.48,2.74%,13.12,"26,992",42.83,48.59,35.81,25.68,11.24,8.10%,1.05%,-40.83%,-2.74%,39.11%,0.79,-,4.86%,6.03%,0.43,13.34,17.04,41.23,,,,,,,,,,,,,,,,,,,,
AKI India,7.9,-1.99%,7.9,"11,470",69.94,50.06,33.69,28.56,6.63,9.12%,-7.82%,-69.51%,-90.23%,-90.23%,1.21,-,-,6.09%,-,7.87,13.47,53.34,,,,,,,,,,,,,,,,,,,,
Akiko Global Services,80.5,-5.18%,82.1,"16,000",86.7,12.38,32.57,109,62.8,-2.25%,13.38%,-13.77%,-13.77%,-13.77%,2.07,-,78.36%,32.21%,4.21,84.09,78.76,53.4,,,,,,,,,,,,,,,,,,,,
Akme Fintrade,8.16,-2.16%,8.48,"29,03,742",348.23,10.71,32.57,134,6.42,9.68%,22.16%,-38.83%,-93.88%,-93.88%,0.93,-,7.72%,14.82%,5.65,7.71,8.74,58.71,,,,,,,,,,,,,,,,,,,,
Aksh Optifibre,9.1,-2.15%,9.33,"1,67,280",148.06,-,16.09,15,7.28,-2.15%,12.07%,3.29%,-7.61%,34.81%,-21.31,-,-,-42.34%,-,9.8,9.79,44.36,,,,,,,,,,,,,,,,,,,,
Akshar Spintex,0.6,1.69%,0.59,"13,33,738",47.25,67,23.14,2.68,0.5,3.45%,1.69%,-77.19%,-90.54%,-90.48%,0.54,-,-,11.87%,-,0.59,0.87,47.38,,,,,,,,,,,,,,,,,,,,
AksharChem,254.95,-2.13%,261.81,"3,884",204.8,43.44,31.75,374.95,195,4.65%,20.80%,-5.31%,-6.59%,27.57%,0.79,0.29%,19.57%,29.32%,-,235.06,276.46,59.22,,,,,,,,,,,,,,,,,,,,
Akums Drugs & Pharma,572.15,-0.99%,579.05,"1,59,170","9,005.30",27.94,43.06,"1,175.90",405,12.85%,10.62%,-28.14%,-28.14%,-28.14%,2.98,-,0.11%,0.23%,-,521.37,641.84,57.85,,,,,,,,,,,,,,,,,,,,
Akzo Nobel,"3,229.40",0.14%,"3,225.00","7,187","14,706.79",34.18,45.92,"4,674.00","2,711.25",-7.78%,1.62%,15.39%,80.84%,71.86%,11.05,3.10%,32.08%,39.55%,94.71,"3,464.03","3,593.04",32.2,,,,,,,,,,,,,,,,,,,,
Alankit,15.82,-1.98%,16.49,"5,98,527",428.97,18.12,41.34,29.61,13,10.09%,5.26%,-23.61%,38.17%,6.17%,1.47,-,7.41%,9.18%,0.89,14.66,19.6,65.01,,,,,,,,,,,,,,,,,,,,
Albert David,863.65,0.96%,868.25,"12,115",492.9,28.4,43.06,"1,753.95",762.6,-3.95%,5.65%,-31.95%,64.98%,66.81%,1.24,0.58%,-,24.47%,-,827.65,"1,159.60",60.25,,,,,,,,,,,,,,,,,,,,
Alembic,119.51,1.79%,118.81,"26,16,317","3,068.80",9.73,27.46,169,85.46,14.71%,27.55%,14.66%,80.53%,85.14%,1.29,2.04%,4.25%,4.64%,10.91,105.41,121.88,60.3,,,,,,,,,,,,,,,,,,,,
Alembic Pharmaceuticals,994.8,-0.15%,"1,005.50","1,94,650","19,554.10",34.18,43.06,"1,303.90",725.2,13.10%,23.44%,11.62%,37.92%,16.50%,3.77,1.10%,12.78%,13.79%,32.05,918.97,"1,002.22",56.47,,,,,,,,,,,,,,,,,,,,
Alicon Castalloy,911.75,-0.31%,903.5,"18,963","1,482.67",32.45,36.94,"1,541.90",597.15,30.07%,27.75%,-25.18%,47.04%,292.57%,2.52,0.27%,10.54%,17.00%,43.55,751.78,"1,018.40",74.87,,,,,,,,,,,,,,,,,,,,
Alivus Life Sciences,"1,028.30",0.22%,"1,035.00","1,93,936","12,600.49",25.85,43.06,"1,251.00",850,-6.53%,1.07%,-5.17%,-5.17%,-5.17%,4.45,0.49%,21.84%,26.24%,36.48,"1,061.00","1,076.99",37.96,,,,,,,,,,,,,,,,,,,,
Alkali Metals,101.11,-0.73%,102.12,"8,324",102.96,97.57,36.4,165,74,21.57%,20.24%,-17.62%,26.62%,130.32%,2.37,0.49%,2.20%,6.71%,-,90.29,104.72,57.87,,,,,,,,,,,,,,,,,,,,
Alkem Laboratories,"4,846.50",-0.80%,"4,911.00","1,65,488","57,947.18",26.98,43.06,"6,439.90","4,491.65",-3.47%,2.04%,-4.56%,56.62%,105.71%,4.88,0.92%,16.91%,18.44%,179.8,"5,043.34","5,393.91",43.36,,,,,,,,,,,,,,,,,,,,
Alkyl Amines Chemicals,"1,995.80",-1.04%,"2,016.00","36,458","10,205.73",55.36,36.4,"2,498.85","1,508.00",16.17%,22.74%,-0.70%,-22.60%,137.65%,7.36,4.96%,37.52%,40.66%,28.94,"1,801.21","1,910.36",71.87,,,,,,,,,,,,,,,,,,,,
All E Technologies,384,2.73%,376.8,"18,000",775.46,25.57,41.34,633,245,10.34%,-1.75%,36.22%,192.57%,192.57%,5.23,-,-,21.46%,-,368.69,440.47,47.3,,,,,,,,,,,,,,,,,,,,
Allcargo Gati,71.44,-1.52%,72.6,"3,75,959","1,050.71",129.68,35.81,119.85,52.01,17.65%,25.97%,-25.60%,-47.87%,-47.87%,1.31,-,0.87%,3.17%,-,63.21,82.06,70.1,,,,,,,,,,,,,,,,,,,,
Allcargo Logistics,35.77,-2.93%,36.9,"48,02,692","3,515.41",78.45,35.52,74.49,26.39,20.97%,18.68%,-44.85%,-38.21%,-40.57%,1.5,5.70%,20.98%,7.68%,0.26,30.47,45.78,74.93,,,,,,,,,,,,,,,,,,,,
Allcargo Terminals,30.95,0.75%,30.98,"3,33,332",760.43,23.15,35.52,55.34,21.21,23.06%,16.27%,-39.79%,-32.05%,-32.05%,2.63,-,26.98%,12.45%,1.81,26.2,34.91,70.07,,,,,,,,,,,,,,,,,,,,
Alldigi Tech,913.75,-0.75%,928,"6,846","1,392.40",19.9,41.34,"1,150.00",811.05,-5.53%,0.17%,-16.81%,-16.81%,-16.81%,5.41,4.89%,26.07%,31.62%,43.71,945.13,985.1,40.95,,,,,,,,,,,,,,,,,,,,
Allied Blenders & Distillers,416.3,-1.90%,426.2,"6,69,257","11,644.33",60.92,35.93,454.8,279,18.23%,27.48%,30.95%,30.95%,30.95%,7.7,0.85%,0.39%,29.51%,0.7,356.06,353.82,75.6,,,,,,,,,,,,,,,,,,,,
Allied Digital Services,190.52,-1.54%,193.95,"1,94,391","1,074.19",33.89,41.34,319.9,147,0.28%,-0.53%,27.99%,61.53%,879.54%,1.81,0.78%,7.41%,10.43%,8.6,193.15,236.87,46.34,,,,,,,,,,,,,,,,,,,,
Almondz Global Securities,21.75,1.45%,21.31,"2,37,566",374.72,19.83,32.57,39.13,18.41,3.57%,6.20%,-3.68%,41.14%,1171.93%,1.53,-,-,16.78%,-,22.06,27.38,52.93,,,,,,,,,,,,,,,,,,,,
Alok Industries,20.83,-3.39%,21.56,"1,25,01,686","10,342.60",-,28.71,30,14.01,21.18%,28.66%,-24.80%,-2.44%,-26.78%,-0.52,-,4.28%,-5.43%,-,17.6,20.45,70.23,,,,,,,,,,,,,,,,,,,,
Alpa Laboratories,100.5,-0.52%,101.95,"28,253",211.46,10.89,43.06,144.5,83,-4.23%,-2.92%,15.52%,57.89%,351.69%,1.24,-,-,13.64%,-,105.49,112.57,43.86,,,,,,,,,,,,,,,,,,,,
Alpex Solar,966.25,-2.66%,"1,004.90","59,600","2,364.74",29.1,44.35,"1,131.70",495,22.91%,74.15%,32.06%,179.71%,179.71%,11.23,-,-,29.47%,-,800.65,791.18,69.4,,,,,,,,,,,,,,,,,,,,
Alphageo,274.2,-3.30%,287.1,"24,579",174.52,28.65,35.52,522.8,217,15.60%,6.00%,-29.58%,-6.64%,28.49%,0.67,2.82%,-,1.69%,-,250.58,347.77,63.16,,,,,,,,,,,,,,,,,,,,
Alps Industries,2.82,4.83%,2.82,"5,444",11.03,-,35.08,4.56,1.98,13.71%,17.99%,-9.32%,-25.79%,156.36%,-0.01,-,-,-0.75%,-,2.43,3.03,61.77,,,,,,,,,,,,,,,,,,,,
Aluwind Infra - Tech,84,7.76%,79.75,"2,91,000",208.72,23.84,27.46,82.4,48,50.00%,49.73%,54.27%,77.78%,77.78%,3.25,-,-,43.40%,-,59.04,61.74,65.45,,,,,,,,,,,,,,,,,,,,
Amara Raja Energy & Mobility,"1,008.40",-0.74%,"1,020.50","5,49,775","18,456.28",21.56,46.65,"1,775.95",832.3,0.93%,3.16%,-24.88%,66.91%,66.91%,2.52,1.03%,13.74%,17.71%,53.17,"1,004.10","1,168.01",49.59,,,,,,,,,,,,,,,,,,,,
Ambani Orgochem,114.75,-,-,-,87.88,-,36.4,150,76.15,11.41%,4.32%,18.30%,18.30%,18.30%,1.82,-,-,8.43%,-,114.31,-,56.34,,,,,,,,,,,,,,,,,,,,
Amber Enterprises,"6,531.00",-1.63%,"6,639.00","1,23,406","22,090.13",92.2,67.22,"8,177.00","3,851.10",4.71%,0.13%,60.18%,193.23%,376.42%,9.82,-,6.59%,10.83%,47.37,"6,447.84","6,099.88",56.85,,,,,,,,,,,,,,,,,,,,
Ambey Laboratories,40.75,3.16%,41.45,"1,22,000",101.66,-,40.46,97.2,36.35,7.80%,-16.92%,-54.34%,-54.34%,-54.34%,-,-,19.33%,16.22%,-,40.91,57.59,51.38,,,,,,,,,,,,,,,,,,,,
Ambica Agarbathies,29.26,0.76%,29.15,"7,867",50.26,33.82,36.4,36.95,23.99,6.71%,5.21%,12.63%,27.22%,122.51%,0.46,-,3.52%,18.76%,-,28.64,29.3,47.11,,,,,,,,,,,,,,,,,,,,
Ambika Cotton Mill,"1,594.00",-2.03%,"1,627.00","5,151",912.57,14.18,23.14,"2,197.65","1,273.05",12.17%,21.56%,-1.56%,2.64%,140.62%,1.03,2.27%,13.70%,11.78%,111.37,"1,455.63","1,534.29",63.57,,,,,,,,,,,,,,,,,,,,
Ambuja Cements,550.45,-1.92%,563,"15,19,277","1,35,582.63",33.42,54.95,706.95,453.05,1.62%,12.52%,-17.68%,51.76%,184.18%,2.59,0.36%,9.32%,9.15%,12.66,551.07,552.39,56.51,,,,,,,,,,,,,,,,,,,,
Amd Industries,50.5,-0.88%,51.5,"7,479",96.79,100,24.63,87.9,39.85,7.15%,22.25%,-25.59%,17.03%,233.33%,0.63,-,12.17%,4.76%,0.67,48.57,58.16,56.23,,,,,,,,,,,,,,,,,,,,
Ameya Precision Engineers,124.3,0.24%,125.5,"5,000",93.23,20.77,39.32,143.85,82.5,12.59%,26.71%,50.67%,119.61%,119.61%,3.39,-,-,18.35%,-,108.86,108.1,62.56,,,,,,,,,,,,,,,,,,,,
Amiable Logistics,76,-,-,-,13.29,17,35.52,110,63.6,0.33%,-5.00%,-3.80%,-44.28%,-44.28%,1.47,-,15.70%,25.76%,7.67,80.58,81.26,48.27,,,,,,,,,,,,,,,,,,,,
Amines & Plasticizers,265,5.51%,251,"45,107","1,458.03",33.67,36.4,359.95,186.16,33.61%,23.00%,29.54%,65.63%,65.63%,5.34,0.20%,12.52%,26.61%,7.37,218.75,264.8,74.77,,,,,,,,,,,,,,,,,,,,
AMJ Land Holdings,62.5,-1.09%,63.67,"81,067",256.25,12.7,27.46,76.49,39.1,32.36%,24.60%,56.64%,142.72%,291.85%,1.14,0.32%,-,8.30%,-,52.28,54.31,64.3,,,,,,,,,,,,,,,,,,,,
Amrutanjan Health Care,707,1.01%,697,"9,531","2,043.98",39.82,47.58,862.6,544.1,0.19%,19.89%,-6.12%,-11.63%,82.15%,6.2,0.66%,18.92%,29.24%,15.56,688.2,706.71,49.77,,,,,,,,,,,,,,,,,,,,
Anand Rathi Wealth,"2,040.10",0.67%,"2,046.90","1,26,433","16,937.04",56.09,32.57,"2,323.00","1,594.00",18.53%,23.43%,3.96%,543.26%,599.19%,24.95,0.69%,34.14%,54.40%,58.61,"1,822.09","1,920.42",70.12,,,,,,,,,,,,,,,,,,,,
Anant Raj Industries,556.7,-3.01%,574,"13,85,939","19,033.06",46.36,27.46,947.9,376.15,23.41%,11.92%,32.31%,986.24%,2190.95%,4.74,0.13%,7.18%,8.02%,8.81,494.69,633.35,66.76,,,,,,,,,,,,,,,,,,,,
Andhra Cements,68.73,0.23%,69.9,"13,352",633.5,-,30.72,110.4,48.15,23.13%,21.13%,-32.08%,19.32%,19.32%,4.36,-,-22.11%,-11.67%,-,58.48,73.83,73.35,,,,,,,,,,,,,,,,,,,,
Andhra Paper,80.34,-0.70%,81.19,"1,71,801","1,597.56",18.14,28.98,128,65.1,7.69%,14.48%,-24.29%,28.73%,78.45%,0.83,1.23%,17.95%,22.64%,62.58,75.44,89.46,57.57,,,,,,,,,,,,,,,,,,,,
Andhra Sugars,75.21,-2.78%,77.36,"2,69,030","1,019.36",24.14,34.18,128.99,65.1,5.56%,9.67%,-33.97%,-41.43%,47.04%,0.66,1.04%,11.64%,4.92%,5.36,72.76,89.42,59.3,,,,,,,,,,,,,,,,,,,,
Angel One,"3,035.60",-2.53%,"3,100.00","6,09,824","27,405.01",24.04,32.57,"3,503.15","1,941.00",22.06%,54.70%,15.18%,124.49%,1000.65%,5.01,1.54%,37.04%,33.08%,132.93,"2,621.23","2,623.19",66.41,,,,,,,,,,,,,,,,,,,,
ANI Integrated Services,97,-3.10%,97.1,"1,800",100.42,11.51,35.52,218.45,93.65,-11.82%,-22.86%,-37.01%,102.29%,437.40%,1.54,-,-,17.39%,-,109.56,147.6,44.17,,,,,,,,,,,,,,,,,,,,
Anik Industries,110,-0.43%,108.1,"1,875",305.29,100.23,35.81,133,47.41,2.80%,20.88%,130.41%,255.41%,1005.53%,0.79,-,-,1.29%,-,112.46,99.62,48.78,,,,,,,,,,,,,,,,,,,,
Anjani Portland Cement,139,0.89%,138.25,"22,259",408.31,-,30.72,214.7,96.2,6.68%,30.69%,-28.18%,-33.28%,17.16%,1.88,-,-13.23%,-2.27%,-,127.09,150.88,56.34,,,,,,,,,,,,,,,,,,,,
Ankit Metal & Power,2.08,-5.02%,2.23,"1,54,908",29.35,-,32.88,5.39,1.85,-3.70%,-21.51%,-48.51%,-74.32%,246.67%,-0.03,-,-,-7.38%,-,2.24,3.42,42.49,,,,,,,,,,,,,,,,,,,,
Anlon Technology Solutions,360,-0.55%,365,"14,800",225.19,34.87,35.52,607,239,2.56%,39.21%,-14.13%,36.54%,36.54%,3.85,-,-,21.96%,-,340.7,361.83,55.56,,,,,,,,,,,,,,,,,,,,
Anmol,17.85,-2.08%,18.23,"51,538",101.59,14.87,35.81,38.4,14.02,12.90%,11.42%,-51.02%,-48.34%,-52.45%,0.97,-,-,29.52%,-,16.89,24.03,55,,,,,,,,,,,,,,,,,,,,
Annapurna Swadisht,288,-2.62%,295,"37,750",628.42,32.04,39.33,494.9,244.95,2.36%,6.43%,-4.00%,118.68%,118.68%,2.15,-,11.95%,19.45%,7.47,286.25,350.25,45.62,,,,,,,,,,,,,,,,,,,,
Ansal Properties & Infrastructure,4.1,1.99%,4.1,"10,052",64.54,-,27.46,15.58,3.52,-9.49%,-3.76%,-57.25%,-57.73%,-57.73%,-0.08,-,-,6.46%,-,4.2,8.13,40.33,,,,,,,,,,,,,,,,,,,,
Antarctica,1.41,-6.62%,1.62,"41,63,635",21.86,-,24.63,2.48,0.93,41.00%,36.89%,-4.73%,22.61%,156.36%,1.95,-,-,-2.23%,-,1.03,1.42,83.24,,,,,,,,,,,,,,,,,,,,
Antony Waste Handling Cell,624.15,-2.32%,639,"58,527","1,771.47",27.17,35.52,902,442,15.22%,24.64%,39.96%,124.19%,53.22%,2.75,-,13.71%,12.88%,30.11,554.41,626.56,70.35,,,,,,,,,,,,,,,,,,,,
Anuh Pharma,215.41,-0.49%,218.2,"39,653","1,079.46",22.96,34.23,245.7,148.5,26.47%,39.71%,-3.34%,-3.34%,-3.34%,3.34,0.69%,-,26.85%,-,185.24,-,69.23,,,,,,,,,,,,,,,,,,,,
Anupam Rasayan,"1,104.50",0.24%,"1,093.60","8,65,721","12,141.92",129.91,36.4,"1,115.00",601,23.03%,40.76%,41.35%,85.29%,109.66%,4.25,-,8.65%,10.08%,8.55,889.27,768.84,84.99,,,,,,,,,,,,,,,,,,,,
Anya Polytech & Fertilizers,24.4,-4.13%,24.8,"1,95,000",292.8,37.43,24.63,29.05,16.2,2.09%,3.61%,35.93%,35.93%,35.93%,3.58,-,-,24.91%,-,23.92,-,50.62,,,,,,,,,,,,,,,,,,,,
Apar Industries,"8,063.50",-0.84%,"8,229.50","54,955","32,389.72",39.66,44.35,"11,779.90","4,308.05",27.98%,45.74%,-1.03%,963.93%,2504.49%,7.23,0.63%,21.29%,34.71%,206.69,"6,471.37","8,254.59",70.17,,,,,,,,,,,,,,,,,,,,
Apcotex Industries,386.55,0.99%,386,"40,266","2,004.07",37.02,35.52,490,286.95,15.89%,24.87%,-16.32%,-37.30%,259.41%,3.59,1.69%,20.58%,20.10%,10.91,341,370.82,69.53,,,,,,,,,,,,,,,,,,,,
Apeejay Surrendra Park Hotels,156,-3.51%,161.5,"8,01,480","3,328.64",41.29,43.96,206.2,129,3.92%,7.28%,-9.49%,-23.36%,-23.36%,2.69,-,8.65%,11.71%,3.22,152.55,164.97,60.47,,,,,,,,,,,,,,,,,,,,
Apex Ecotech,130,2.36%,133.2,"16,000",171.41,19.57,39.32,169,73,39.71%,50.03%,-10.71%,-10.71%,-10.71%,3.62,-,-,58.89%,-,102.87,-,64.8,,,,,,,,,,,,,,,,,,,,
Apex Frozen Foods,244.74,-0.14%,245,"73,462",764.81,197.86,54.04,324,186.55,13.81%,11.44%,5.11%,-4.70%,4.21%,1.55,0.82%,7.32%,5.78%,4.72,216.55,236.52,59.1,,,,,,,,,,,,,,,,,,,,
APL Apollo Tubes,"1,835.00",-2.77%,"1,893.00","2,84,601","50,925.76",69.1,30.86,"1,936.00","1,272.70",7.13%,30.80%,16.08%,102.15%,1047.45%,12.43,0.31%,21.36%,23.26%,26.38,"1,691.92","1,545.53",70.45,,,,,,,,,,,,,,,,,,,,
Apollo Hospitals,"6,999.50",1.04%,"6,932.00","4,61,772","1,00,642.07",68.88,53.31,"7,545.35","6,001.00",1.06%,13.93%,13.47%,91.67%,398.68%,12.14,0.40%,12.53%,14.99%,72.05,"6,914.56","6,880.89",49.78,,,,,,,,,,,,,,,,,,,,
Apollo Micro Systems,186.43,-2.97%,192.95,"39,64,283","5,713.88",104.48,67.22,211.43,87.99,45.97%,65.85%,81.09%,1405.90%,1858.30%,9.71,-,4.88%,13.18%,1.24,140.68,117.45,75.1,,,,,,,,,,,,,,,,,,,,
Apollo Pipes,462.9,3.64%,453.9,"4,59,032","2,038.99",62.95,30.71,682,312.8,19.03%,39.01%,-30.58%,1.74%,301.54%,2.28,0.15%,22.15%,10.19%,10.31,410.43,461.94,54.89,,,,,,,,,,,,,,,,,,,,
Apollo Sindoori Hotel,"1,280.00",-2.97%,"1,321.70","1,743",332.85,44.4,43.96,"2,224.85","1,160.00",-0.33%,3.83%,-18.66%,106.14%,155.59%,2.35,-,14.09%,15.50%,33.57,"1,282.11","1,562.78",46.81,,,,,,,,,,,,,,,,,,,,
Apollo Tyres,457.2,-1.14%,462.4,"7,60,669","29,036.82",23.62,29.94,584.9,370.9,-4.95%,12.24%,-4.33%,141.14%,328.69%,1.99,1.08%,12.39%,15.30%,26.73,462.66,475.58,46.88,,,,,,,,,,,,,,,,,,,,
Aprameya Engineering,165,-4.62%,172.8,"22,000",314.16,20.45,53.31,188.35,55,24.72%,57.29%,118.25%,118.25%,118.25%,5.13,-,-,18.67%,-,130.35,-,63.8,,,,,,,,,,,,,,,,,,,,
Aptech,157.15,-0.08%,157.1,"26,471",911.94,46.93,26.35,254,107,-5.90%,30.45%,-32.26%,5.82%,119.24%,3.64,2.85%,-,15.49%,-,149.01,170.04,48.7,,,,,,,,,,,,,,,,,,,,
Aptus Value Housing Finance,321,-0.97%,324.9,"20,45,114","16,044.03",21.56,28.13,401.65,267.95,-0.39%,7.00%,-5.62%,29.78%,-7.47%,3.75,1.39%,16.24%,13.21%,12.85,321.22,320.26,53.5,,,,,,,,,,,,,,,,,,,,
Arabian Petroleum,74.4,-,-,-,81.04,8.41,36.4,115,63,-0.53%,12.56%,-11.43%,-2.43%,-2.43%,1.39,-,22.08%,24.13%,6.91,71.68,81.43,50.91,,,,,,,,,,,,,,,,,,,,
Archean Chemical Industries,636.7,0.38%,634,"1,27,399","7,858.64",44.78,36.4,832,408.35,8.06%,15.34%,2.36%,38.97%,38.97%,4.2,0.47%,18.75%,10.56%,21.88,607.1,627.89,59.86,,,,,,,,,,,,,,,,,,,,
Archidply,105,-1.58%,106,"22,499",208.58,98.22,35.52,153,79.5,18.36%,21.56%,-7.10%,108.96%,398.81%,2.07,-,-,10.35%,-,93.05,107.62,69.96,,,,,,,,,,,,,,,,,,,,
Archidply Decor,93.5,-1.90%,99.95,"2,514",52.04,794.25,35.52,146.6,62,3.81%,38.85%,-0.97%,56.88%,309.19%,1.05,-,-,3.78%,-,90.76,92.71,57.86,,,,,,,,,,,,,,,,,,,,
Archies,21.53,-0.42%,21.88,"28,358",72.73,-,35.81,36.71,14.72,16.19%,31.60%,-14.36%,33.73%,96.62%,0.56,-,-,-2.89%,-,18.84,23.44,61.51,,,,,,,,,,,,,,,,,,,,
Arham Technologies,97.95,2.57%,95,"9,000",165.73,22.21,20.55,183,78.2,16.61%,18.51%,-31.41%,55.48%,55.48%,5.18,-,18.66%,29.67%,2.88,90.73,121.12,54.63,,,,,,,,,,,,,,,,,,,,
Aries Agro,325.7,-2.54%,336,"53,696",423.55,12.77,19.56,406.95,220.11,7.09%,31.56%,32.87%,166.64%,381.45%,1.5,0.36%,-,16.62%,-,289.31,283,61.44,,,,,,,,,,,,,,,,,,,,
Arihant Academy,274,-0.36%,275,"18,000",165.91,37.47,35.52,325,117,3.01%,9.60%,107.73%,130.45%,130.45%,6.65,0.36%,-,54.63%,-,268.33,212.24,54.57,,,,,,,,,,,,,,,,,,,,
Arihant Capital Markets,75.24,-3.54%,78.01,"2,29,905",783.34,14.54,32.57,124.8,58.15,13.02%,18.66%,12.57%,-2.98%,200.72%,2.13,0.64%,11.35%,28.21%,7.47,70.11,89.23,66.83,,,,,,,,,,,,,,,,,,,,
Arihant Superstructures,377.95,0.60%,377.8,"10,961","1,555.64",28.35,27.46,553.6,278,5.09%,-3.29%,13.01%,222.21%,1474.79%,5.01,-,20.38%,15.14%,12.4,378.75,398.69,57.35,,,,,,,,,,,,,,,,,,,,
Aristo Bio-Tech & Lifescience,118,-,-,-,80.33,19.77,40.46,164,72.2,-6.35%,28.26%,45.68%,40.48%,40.48%,2.15,0.34%,-,16.24%,-,122.87,117.87,45.27,,,,,,,,,,,,,,,,,,,,
Arkade Developers,192.28,-2.63%,197.48,"15,80,070","3,569.94",23.38,27.46,204.4,128.15,17.13%,24.95%,15.93%,15.93%,15.93%,4.15,-,-,47.34%,-,168.81,-,70.32,,,,,,,,,,,,,,,,,,,,
Arman Financial Services,"1,758.90",-0.03%,"1,750.80","46,925","1,845.18",35.42,32.57,"2,530.00","1,109.95",15.93%,51.67%,-28.32%,54.81%,307.06%,2.11,-,25.65%,21.35%,165.64,"1,505.67","1,444.39",64.53,,,,,,,,,,,,,,,,,,,,
Aro Granite Industries,39.8,-1.97%,41.15,"5,307",60.89,47.41,35.52,64.99,31.08,10.83%,15.26%,-28.55%,-4.67%,63.45%,0.34,-,-3.04%,7.68%,1.03,36.56,45.71,56.45,,,,,,,,,,,,,,,,,,,,
Arrow Greentech,619.3,-0.59%,616.25,"6,764",934.4,14.89,30.71,"1,099.00",486.65,10.64%,17.14%,7.95%,605.75%,1114.31%,4.99,0.64%,-,31.28%,-,610.32,731.42,51.48,,,,,,,,,,,,,,,,,,,,
Arshiya,2.59,-1.89%,2.65,"69,705",68.24,-,35.52,6.2,2.36,-1.52%,-12.79%,-56.47%,-85.85%,-72.56%,-0.02,-,-,22.14%,-,2.78,3.78,39.17,,,,,,,,,,,,,,,,,,,,
Art Nirman,55.99,-3.13%,58.44,"4,459",139.73,72.25,27.46,97.7,39.68,30.33%,17.87%,-16.98%,-15.17%,166.62%,3.87,-,-,4.13%,-,46.47,54.23,69.01,,,,,,,,,,,,,,,,,,,,
Artemis Medicare Services,261.8,-0.66%,266.8,"78,197","3,602.43",44.33,53.31,350,172.1,3.23%,11.47%,45.45%,519.64%,1297.01%,4.76,0.17%,10.81%,12.68%,4.07,265.67,282.39,50.54,,,,,,,,,,,,,,,,,,,,
Arunaya Organics,34,1.49%,34.15,"40,000",59.63,14.38,31.75,46.5,29.05,-6.85%,7.59%,7.59%,7.59%,7.59%,1.1,-,-,49.45%,-,-,-,49.74,,,,,,,,,,,,,,,,,,,,
Arvee Laboratories,185.99,3.44%,180,77,204.96,92.21,36.4,235.79,126.54,27.36%,32.31%,-2.66%,122.48%,800.68%,6.34,-,-,6.65%,-,156.14,164.5,59.68,,,,,,,,,,,,,,,,,,,,
Arvind,354.15,-2.40%,363.95,"2,33,502","9,272.28",26.91,23.14,450,297,-8.05%,10.69%,-5.71%,273.97%,922.08%,2.51,1.03%,9.74%,14.96%,11.81,361.71,368.62,52.51,,,,,,,,,,,,,,,,,,,,
Arvind Fashions,481.7,2.52%,469.85,"5,61,049","6,419.89",74.64,35.81,639.7,320.2,12.61%,24.42%,2.51%,91.34%,178.02%,6.57,0.34%,8.94%,16.32%,5.7,426.9,494.51,56.6,,,,,,,,,,,,,,,,,,,,
Arvind SmartSpaces,697.25,-2.73%,720.85,"68,804","3,176.29",29.7,27.46,"1,025.00",601,4.85%,0.76%,-0.04%,351.29%,931.43%,5.48,0.83%,8.16%,16.09%,8.02,684.07,777.61,61.52,,,,,,,,,,,,,,,,,,,,
Asahi India Glass,744.25,-2.26%,761.45,"1,03,112","18,091.97",53.14,28.62,833.95,576.8,0.28%,25.08%,20.55%,73.02%,326.26%,6.94,0.26%,13.95%,15.20%,12.43,705.91,692.51,53.23,,,,,,,,,,,,,,,,,,,,
Asahi Songwon Colors,430.05,-1.62%,438.05,"9,534",506.91,26,31.75,588.95,258,-8.38%,41.32%,5.55%,56.92%,300.42%,2.01,0.34%,-,8.53%,-,390.92,390.11,51.54,,,,,,,,,,,,,,,,,,,,
Ascom Leasing & Investments,76.55,-,-,-,89.67,17.52,32.57,166.8,76.55,-14.18%,-22.52%,-49.07%,38.35%,258.88%,1.8,-,12.50%,14.55%,4.25,125.23,170.7,22.77,,,,,,,,,,,,,,,,,,,,
Ashapura Logistics,70.3,-0.99%,70.5,"3,000",95.3,7.84,35.52,194.25,60,-13.21%,-9.06%,-60.00%,-60.00%,-60.00%,0.74,-,-,26.57%,-,73.93,94.77,46.97,,,,,,,,,,,,,,,,,,,,
Ashapura Minechem,390.55,-1.40%,397.1,"2,21,658","3,730.77",12.83,17.48,571.55,200.45,12.28%,26.43%,-3.20%,283.64%,880.05%,3.06,-,16.70%,21.40%,17.6,374.34,364.82,54.21,,,,,,,,,,,,,,,,,,,,
Ashiana Housing,354.4,-0.87%,357.5,"83,428","3,562.60",165,27.46,469,247.8,32.07%,17.16%,-14.83%,181.49%,637.57%,4.69,0.42%,3.67%,11.44%,6.67,288.07,314.1,82.51,,,,,,,,,,,,,,,,,,,,
