Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,,,,,,,,,,,,,,,,,,,,
Agarwal Toughened Glass,126.5,0.56%,121.25,"3,600",223.58,14.66,28.62,147.7,81,-4.20%,29.08%,-10.76%,-10.76%,-10.76%,2.36,-,-,49.19%,-,123.84,-,48.7,,,,,,,,,,,,,,,,,,,,
AGI Greenpac,833.5,-3.54%,864.05,"1,56,232","5,392.53",17.32,24.63,"1,307.90",599.1,0.66%,22.38%,16.92%,306.49%,1545.61%,2.66,0.81%,4.63%,7.65%,38.81,816.59,891.94,58.34,,,,,,,,,,,,,,,,,,,,
AGI Infra,871.4,-4.12%,929,"2,82,144","2,129.13",33.25,27.46,971.15,328.53,6.13%,6.61%,96.85%,96.85%,96.85%,7.52,0.06%,27.91%,26.26%,42.64,838.08,748.3,63.49,,,,,,,,,,,,,,,,,,,,
Agni Green Power,24.4,-0.41%,25.45,"10,000",47.66,76.56,44.35,63.35,17.9,5.17%,9.66%,-55.06%,-7.05%,-7.05%,1.52,-,-,6.91%,-,22.59,34.04,56.59,,,,,,,,,,,,,,,,,,,,
Agri-Tech,161.03,-2.48%,163.25,"10,445",95.65,-,35.52,309.15,117.5,5.19%,16.85%,-16.42%,109.27%,347.31%,0.95,-,-2.89%,-2.20%,-,153.32,182.11,58.21,,,,,,,,,,,,,,,,,,,,
Agro Phos,38.49,-1.13%,39.7,"85,404",78.04,15.7,19.56,53.05,27.2,19.76%,31.50%,-15.18%,22.19%,155.75%,1.21,-,9.61%,-7.53%,-,32.72,38.28,61.27,,,,,,,,,,,,,,,,,,,,
AGS Transact Technologies,4.78,-2.05%,4.78,"1,78,301",58.95,44.18,16.54,118.4,3.78,18.61%,-63.82%,-93.96%,-94.03%,-97.03%,0.11,-,-,2.05%,-,5.71,53.75,34.73,,,,,,,,,,,,,,,,,,,,
Ahimsa Industries,22.1,-,-,-,12.1,-,30.71,74.6,16.65,-,-,32.73%,42.12%,-7.92%,1.41,-,-7.26%,-5.47%,-,49.61,30.72,8.07,,,,,,,,,,,,,,,,,,,,
Ahlada Engineers,67.73,-1.47%,69.8,"28,671",87.51,23.95,32.88,133,53.05,5.24%,5.76%,-46.69%,-24.07%,46.76%,0.64,2.33%,-,16.94%,-,64.17,85.56,45.48,,,,,,,,,,,,,,,,,,,,
Ahluwalia Contracts,925.3,-1.46%,940,"27,385","6,198.36",31.04,27.46,"1,542.45",620,3.65%,26.64%,-22.51%,118.41%,389.97%,3.49,0.06%,15.79%,27.90%,32,892.2,956.27,60.9,,,,,,,,,,,,,,,,,,,,
